;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;5;7;8;9;10;11;16;16;16;16;16;16;16;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;GPS;GPS;GPS;GPS;GPS;GPS;GPS;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ROTATION;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;TIME(UTC);
0;0,0;0,3;39,6;0,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,7;  7,9;   170;  5070; 136; 103;  92;  47;  67;  87;---;---;    0,0;    0,0;---;---;---;
1012;0,0;0,3;39,6;0,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,7;  7,9;   170;  5136; 137; 104;  92;  47;  67;  87;---;---;    0,0;    0,0;---;---;---;
2026;0,0;0,3;39,6;0,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,7;  7,9;   170;  5112; 137; 105;  93;  48;  68;  90;---;---;    0,0;    0,0;---;---;---;
3041;0,0;0,3;-33,0;0,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,7;  7,9;   170;  5070; 138; 106;  94;  48;  69;  91;---;---;    0,0;    0,0;---;---;---;
4056;0,0;0,3;-45,7;4,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,6;  8,0;   170;  6096; 139; 107;  95;  49;  69;  92;---;---;    0,0;    0,0;---;---;---;
5069;0,0;0,3;53,4;0,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,6;  8,0;   170;  5502; 139; 108;  95;  49;  69;  92;---;---;    0,0;    0,0;---;---;---;
6082;0,0;0,3;46,9;0,0;100,0;0,0;0,3;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;-100,0;  7,9;  0,0;3;   0,8;  7,9;   170;  4920; 140; 109;  96;  49;  70;  92;---;---;    0,0;    0,0;---;---;---;
